DBN,School Name,# of Comp Sci Courses,# of AP Comp Sci Courses,# of Full CS Courses,# of Partial CS Courses
01M140,P.S. 140 Nathan Straus,5,0,0,5
01M301,"Technology, Arts, and Sciences Studio",2,0,2,0
01M450,East Side Community School,4,1,4,0
01M515,Lower East Side Preparatory High School,2,0,2,0
01M539,"New Explorations into Science, Technology and Math",2,2,2,0
02M006,P.S. 006 Lillie D. Blake,6,0,0,6
02M059,P.S. 059 Beekman Hill International,1,0,0,1
02M089,P.S. 89,5,0,1,4
02M126,P.S. 126 Jacob August Riis,3,0,0,3
02M150,P.S. 150,4,0,0,4
02M217,P.S./I.S. 217 Roosevelt Island,6,0,6,0
02M255,M.S. 255 Salk School of Science,1,0,0,1
02M267,"East Side Elementary School, PS 267",1,0,0,1
02M282,Urban Assembly Maker Academy,11,0,9,2
02M289,I.S. 289,2,0,0,2
02M294,Essex Street Academy,1,1,1,0
02M296,High School of Hospitality Management,1,0,1,0
02M394,Emma Lazarus High School,1,0,1,0
02M399,The High School For Language And Diplomacy,3,1,3,0
02M400,High School for Environmental Studies,5,1,5,0
02M412,N.Y.C. Lab School for Collaborative Studies,1,1,1,0
02M413,School of the Future High School,2,0,1,1
02M420,High School for Health Professions and Human Servi,7,1,6,1
02M437,Hudson High School of Learning Technologies,3,1,3,0
02M439,Manhattan Village Academy,2,1,2,0
02M449,Vanguard High School,3,0,2,1
02M475,Stuyvesant High School,8,1,8,0
02M507,Urban Assembly Gateway School for Technology,5,0,5,0
02M520,Murry Bergtraum High School for Business Careers,1,1,1,0
02M542,Manhattan Bridges High School,3,1,1,2
02M543,New Design High School,1,0,1,0
02M546,Academy for Software Engineering,5,2,5,0
02M600,The High School of Fashion Industries,1,1,1,0
02M605,Humanities Preparatory Academy,1,1,1,0
02M615,Chelsea Career and Technical Education High School,1,1,1,0
02M896,Lower Manhattan Community Middle School,3,0,2,1
03M084,P.S. 084 Lillian Weber,5,0,0,5
03M180,P.S. 180 Hugo Newman,1,0,0,1
03M185,P.S. 185 - The Early Childhood Discovery and Desig,3,0,0,3
03M245,M.S. M245 The Computer School,3,0,3,0
03M307,"Urban Assembly School for Media Studies, The",1,0,1,0
03M334,The Anderson School,1,0,1,0
03M403,The Global Learning Collaborative,2,0,2,0
03M417,Frank Mccourt High School,3,0,2,1
03M485,Fiorello H. LaGuardia High School of Music & Art a,2,1,2,0
03M492,"High School for Law, Advocacy and Community Justic",1,0,1,0
04M012,Tag Young Scholars,6,0,0,6
04M102,P.S. 102 Jacques Cartier,4,0,0,4
04M206,P.S. 206 Jose Celso Barbosa,4,0,0,4
04M377,Renaissance School of the Arts,3,0,0,3
04M406,Global Technology Preparatory,1,0,1,0
04M435,Manhattan Center for Science and Mathematics,3,1,3,0
04M555,Central Park East High School,1,0,1,0
04M610,Young Women's Leadership School,1,0,1,0
05M046,P.S. 046 Arthur Tappan,6,0,6,0
05M092,P.S. 092 Mary McLeod Bethune,1,0,0,1
05M499,Frederick Douglass Academy,4,1,4,0
05M692,"High School for Mathematics, Science and Engineeri",3,1,3,0
06M018,P.S. 018 Park Terrace,4,0,0,4
06M048,P.S. 048 P.O. Michael J. Buczek,6,0,6,0
06M128,P.S. 128 Audubon,6,0,0,6
06M423,High School for Excellence and Innovation,1,0,1,0
06M468,High School for Health Careers and Sciences,1,0,1,0
06M552,Gregorio Luperon High School for Science and Mathe,2,1,2,0
07X018,P.S. 018 John Peter Zenger,1,0,0,1
07X029,P.S./M.S. 029 Melrose School,2,0,2,0
07X065,P.S. 065 Mother Hale Academy,2,0,0,2
07X154,P.S. 154 Jonathan D. Hyatt,1,0,0,1
07X157,P.S. 157 Grove Hill,6,0,0,6
07X161,P.S. 161 Juan Ponce De Leon School,1,0,0,1
07X223,M.S. 223 The Laboratory School of Finance and Tech,8,1,8,0
07X334,International Community High School,6,1,6,0
07X495,University Heights Secondary School,8,0,6,2
08X014,P.S. X014 Senator John Calandra,6,0,6,0
08X123,J.H.S. 123 James M. Kieran,3,0,3,0
08X293,Renaissance High School for Musical Theater & Tech,2,0,0,2
08X305,Pablo Neruda Academy,1,1,1,0
08X312,Millennium Art Academy,1,1,1,0
08X367,"Archimedes Academy for Math, Science and Technolog",6,0,5,1
08X371,Urban Institute of Mathematics,1,0,0,1
08X376,Antonia Pantoja Preparatory Academy: A College Boa,3,0,3,0
08X405,Herbert H. Lehman High School,2,1,2,0
08X452,Bronx Guild,1,1,1,0
08X537,Bronx Arena High School,2,2,2,0
08X561,Bronx Compass High School,3,0,3,0
09X199,P.S. 199X - The Shakespeare School,4,0,0,4
09X231,Eagle Academy for Young Men,6,1,6,0
09X241,Urban Assembly School for Applied Math and Science,2,0,2,0
09X250,Eximius College Preparatory Academy: A College Boa,1,1,1,0
09X260,Bronx Center for Science and Mathematics,1,1,1,0
09X324,Bronx Early College Academy for Teaching & Learnin,2,1,2,0
09X327,Comprehensive Model School Project M.S. 327,1,0,1,0
09X329,DreamYard Preparatory School,1,0,1,0
09X365,Academy for Language and Technology,6,0,6,0
09X403,Bronx International High School,1,1,1,0
09X525,Bronx Leadership Academy High School,1,1,1,0
09X543,High School for Violin and Dance,1,1,1,0
09X555,Mount Eden Children's Academy,6,0,0,6
09X568,Young Women's Leadership School of the Bronx,1,0,1,0
10X015,P.S. X015 Institute for Environmental Learning,1,0,0,1
10X020,"P.S./M.S. 20 P.O.George J. Werdann, III",1,0,0,1
10X032,P.S. 032 Belmont,5,0,2,3
10X045,Thomas C. Giordano Middle School 45,2,0,2,0
10X086,P.S. 086 Kingsbridge Heights,6,0,6,0
10X159,P.S. 159 Luis Munoz Marin Biling,6,0,4,2
10X209,P.S. 209,3,0,0,3
10X213,Bronx Engineering and Technology Academy,3,1,3,0
10X228,Jonas Bronck Academy,1,0,0,1
10X244,The New School for Leadership and Journalism,1,0,1,0
